"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","81.6928","82.0794","82.7617","81.4199","","-0.18%"
"12/28/2023","81.8406","84.5812","84.7517","81.7951","","-3.19%"
"12/27/2023","84.5357","85.8661","86.1845","84.3196","","-1.81%"
"12/26/2023","86.0936","83.8761","86.7645","83.4099","","2.69%"
"12/22/2023","83.8420","84.9450","85.3999","83.6601","","-0.45%"
"12/21/2023","84.2173","84.3310","85.0246","82.7049","","-0.52%"
"12/20/2023","84.6607","84.5243","85.9230","84.0353","","0.32%"
"12/19/2023","84.3878","83.1370","84.8996","82.4206","","1.52%"
"12/18/2023","83.1256","82.3069","85.0815","81.0674","","1.46%"
"12/15/2023","81.9316","82.5115","82.7958","80.6694","","-0.22%"
"12/14/2023","82.1135","79.9075","82.9550","79.7142","","3.19%"
"12/13/2023","79.5777","78.7259","79.8442","77.6349","","1.28%"
"12/12/2023","78.5710","81.8485","82.3662","78.1901","","-3.75%"
"12/11/2023","81.6341","81.7346","82.1570","80.5562","","0.18%"
"12/08/2023","81.4902","80.4296","81.9222","80.3816","","2.69%"
"12/07/2023","79.3575","79.8153","80.6393","78.7510","","-0.06%"
"12/06/2023","79.4033","82.9741","83.0771","79.1058","","-4.07%"
"12/05/2023","82.7680","83.7523","84.7823","82.6193","","-0.99%"
"12/04/2023","83.5921","84.4619","85.4804","83.1343","","-1.39%"
"12/01/2023","84.7709","86.6821","87.8152","84.6564","","-2.49%"
"11/30/2023","86.9339","89.1084","91.0311","85.9726","","-2.44%"
"11/29/2023","89.1084","87.5405","89.2343","86.6364","","1.90%"
"11/28/2023","87.4489","85.9153","88.1127","85.4461","","2.07%"
"11/27/2023","85.6750","85.8352","87.0369","84.7594","","-0.90%"
"11/24/2023","86.4532","87.5748","88.1814","86.3846","","-2.02%"
"11/22/2023","88.2386","88.8109","89.2000","84.4619","","-0.86%"
"11/21/2023","89.0054","88.9024","89.1656","88.0441","","-0.08%"
"11/20/2023","89.0741","87.6321","89.7951","87.2887","","2.35%"
"11/17/2023","87.0255","83.7637","87.1743","83.6264","","4.04%"
"11/16/2023","83.6493","87.0942","87.8609","82.8367","","-4.82%"
"11/15/2023","87.8838","89.7264","90.0469","87.6549","","-1.77%"
"11/14/2023","89.4632","89.8065","91.1570","88.9825","","-0.03%"
"11/13/2023","89.4861","87.4718","89.7836","87.2086","","1.35%"
"11/10/2023","88.2958","86.9683","88.9253","86.8424","","1.85%"
"11/09/2023","86.6936","86.4876","88.1814","86.0756","","0.58%"
"11/08/2023","86.1900","88.3874","88.5705","85.8009","","-2.46%"
"11/07/2023","88.3645","92.0039","92.0268","88.3187","","-4.21%"
"11/06/2023","92.2443","92.3587","93.6977","92.1756","","0.46%"
"11/03/2023","91.8208","93.9381","95.1970","91.4088","","-2.35%"
"11/02/2023","94.0296","92.6219","94.3386","91.5919","","2.57%"
"11/01/2023","91.6720","92.3473","94.7621","91.5347","","-0.50%"
"10/31/2023","92.1298","93.8465","94.7163","92.1069","","-1.44%"
"10/30/2023","93.4803","96.0096","96.1011","92.9424","","-3.57%"
"10/27/2023","96.9366","95.2542","97.2799","94.3615","","2.62%"
"10/26/2023","94.4645","96.6734","97.0167","93.8465","","-2.54%"
"10/25/2023","96.9251","94.9338","97.0167","93.2171","","2.07%"
"10/24/2023","94.9567","97.2799","97.4745","94.0754","","-1.72%"
"10/23/2023","96.6161","98.5160","99.5460","96.5246","","-2.76%"
"10/20/2023","99.3629","100.4615","101.1253","98.8135","","-0.28%"
"10/19/2023","99.6375","98.1383","99.6833","96.6276","","1.13%"
"10/18/2023","98.5274","98.7448","99.8664","97.4630","","2.12%"
"10/17/2023","96.4788","96.0554","97.1197","95.3114","","0.33%"
"10/16/2023","96.1583","97.3257","97.9437","95.9295","","-1.25%"
"10/13/2023","97.3715","92.9081","97.5088","92.8852","","5.39%"
"10/12/2023","92.3930","92.3202","94.4671","91.9309","","-0.33%"
"10/11/2023","92.6981","95.0894","95.5917","92.1823","","-2.36%"
"10/10/2023","94.9401","95.2655","95.7637","94.0896","","-0.49%"
"10/09/2023","95.4091","95.4314","95.7698","93.7660","","4.27%"
"10/06/2023","91.5061","91.3846","92.0146","90.1245","","0.58%"
"10/05/2023","90.9756","93.2635","93.8493","90.8872","","-2.27%"
"10/04/2023","93.0867","98.6131","98.6794","93.0314","","-5.61%"
"10/03/2023","98.6241","97.1541","99.7626","97.0104","","0.46%"
"10/02/2023","98.1710","100.6357","101.5421","98.0715","","-2.17%"
"09/29/2023","100.3484","101.7631","102.8684","99.8952","","-1.00%"
"09/28/2023","101.3652","104.5705","104.7916","101.0336","","-2.10%"
"09/27/2023","103.5426","100.8126","104.0290","100.5584","","3.64%"
"09/26/2023","99.9063","99.1657","100.2489","97.5078","","0.79%"
"09/25/2023","99.1215","99.6631","100.3926","98.4141","","-0.39%"
"09/22/2023","99.5084","99.3868","100.9121","98.7236","","0.45%"
"09/21/2023","99.0662","98.4031","100.5363","97.6846","","-0.03%"
"09/20/2023","99.0994","99.6520","100.6136","98.3368","","-0.91%"
"09/19/2023","100.0057","100.5584","102.1279","99.8178","","-0.11%"
"09/18/2023","100.1163","99.8731","100.9563","99.3868","","0.62%"
"09/15/2023","99.4973","99.6742","100.0831","97.9941","","0.46%"
"09/14/2023","99.0441","97.5962","99.3536","97.4746","","1.97%"
"09/13/2023","97.1320","97.6294","98.2815","96.8999","","-0.32%"
"09/12/2023","97.4415","95.7946","97.9389","95.7836","","1.73%"
"09/11/2023","95.7836","95.3967","96.6788","95.3083","","-0.17%"
"09/08/2023","95.9494","94.7225","96.3804","94.4904","","0.77%"
"09/07/2023","95.2199","95.9051","96.0709","94.7114","","-0.74%"
"09/06/2023","95.9272","95.1757","96.4136","94.3025","","0.91%"
"09/05/2023","95.0651","93.9046","96.3583","93.1641","","1.49%"
"09/01/2023","93.6725","91.8267","93.7719","91.7382","","2.16%"
"08/31/2023","91.6940","89.6935","91.7493","89.5277","","2.27%"
"08/30/2023","89.6603","89.6382","90.1135","88.9198","","0.55%"
"08/29/2023","89.1740","87.8256","89.2403","87.3061","","1.27%"
"08/28/2023","88.0577","87.7592","88.8866","87.5934","","0.23%"
"08/25/2023","87.8587","87.3392","88.3450","86.0682","","1.06%"
"08/24/2023","86.9413","86.3113","87.2618","85.4934","","0.09%"
"08/23/2023","86.8639","87.8145","87.9803","85.5155","","-0.96%"
"08/22/2023","87.7040","87.9803","88.4887","87.5161","","-0.51%"
"08/21/2023","88.1571","89.4061","89.7819","88.0134","","-0.55%"
"08/18/2023","88.6435","88.0798","88.9419","86.9082","","0.87%"
"08/17/2023","87.8808","87.0629","88.6103","86.7313","","0.99%"
"08/16/2023","87.0187","88.4445","89.0413","86.9413","","-1.65%"
"08/15/2023","88.4777","90.0914","90.3787","87.9029","","-1.62%"
"08/14/2023","89.9366","90.4782","90.5114","89.1850","","-0.79%"
"08/11/2023","90.6551","90.5801","91.2899","89.8174","","0.30%"
"08/10/2023","90.3795","91.6592","92.4046","90.1750","","-1.67%"
"08/09/2023","91.9121","90.3033","92.1357","90.1521","","1.67%"
"08/08/2023","90.4041","89.3613","90.5550","87.2058","","1.16%"
"08/07/2023","89.3657","90.4454","90.4563","88.9403","","-1.06%"
"08/04/2023","90.3254","89.1149","90.7617","88.9185","","1.56%"
"08/03/2023","88.9403","87.0427","89.2784","85.8321","","2.59%"
"08/02/2023","86.6937","89.8892","89.9001","86.2247","","-2.31%"
"08/01/2023","88.7440","89.0385","89.3221","87.9915","","-0.53%"
"07/31/2023","89.2130","87.7079","89.2675","87.3917","","1.51%"
"07/28/2023","87.8824","87.0427","87.9806","86.2792","","0.61%"
"07/27/2023","87.3480","86.7482","87.9043","86.2138","","1.66%"
"07/26/2023","85.9193","86.6064","86.9554","85.7012","","-1.07%"
"07/25/2023","86.8463","86.0066","87.1299","85.4067","","1.13%"
"07/24/2023","85.8757","83.6181","86.4319","83.3891","","2.17%"
"07/21/2023","84.0544","83.0510","84.0762","82.8001","","1.88%"
"07/20/2023","82.5057","82.2657","83.0510","81.2842","","0.48%"
"07/19/2023","82.1130","82.4620","83.8144","81.8295","","-0.49%"
"07/18/2023","82.5166","81.0115","82.7674","80.5316","","2.13%"
"07/17/2023","80.7934","81.3605","82.8438","80.4880","","-1.65%"
"07/14/2023","82.1458","83.9344","83.9562","81.9058","","-1.88%"
"07/13/2023","83.7163","82.5820","83.7599","82.0912","","1.62%"
"07/12/2023","82.3857","81.7313","82.7129","81.2951","","1.11%"
"07/11/2023","81.4805","79.8664","81.5459","79.5610","","2.41%"
"07/10/2023","79.5610","80.2263","80.7498","79.3429","","-1.11%"
"07/07/2023","80.4553","78.2522","80.5098","77.7178","","2.76%"
"07/06/2023","78.2959","78.5903","78.9066","76.6927","","-0.13%"
"07/05/2023","78.3940","77.4234","78.7866","76.9108","","2.82%"
"07/03/2023","76.2455","77.1071","78.3831","76.1582","","-1.23%"
"06/30/2023","77.1943","76.3436","77.5979","76.0492","","1.09%"
"06/29/2023","76.3655","75.8420","77.1071","75.3948","","0.42%"
"06/28/2023","76.0492","74.1515","76.2237","73.3990","","2.70%"
"06/27/2023","74.0533","76.2673","76.6599","73.9443","","-2.36%"
"06/26/2023","75.8420","75.7874","76.5181","75.1440","","0.32%"
"06/23/2023","75.6020","75.5911","75.7765","73.6498","","-0.45%"
"06/22/2023","75.9401","79.0157","79.1793","75.3621","","-3.99%"
"06/21/2023","79.0920","77.8923","79.2665","77.2707","","1.88%"
"06/20/2023","77.6306","77.4670","78.8303","76.1473","","-1.03%"
"06/16/2023","78.4376","77.2270","78.4922","76.6163","","1.51%"
"06/15/2023","77.2707","74.5768","77.6197","74.3805","","3.45%"
"06/14/2023","74.6968","75.6347","77.0307","74.6096","","-1.58%"
"06/13/2023","75.8965","73.7120","76.2828","73.4960","","3.41%"
"06/12/2023","73.3956","75.7646","76.0026","73.1008","","-4.27%"
"06/09/2023","76.6730","77.4309","78.3569","76.6184","","-1.53%"
"06/08/2023","77.8611","78.8790","79.9864","75.5000","","-1.68%"
"06/07/2023","79.1913","78.2960","79.8792","77.5535","","1.10%"
"06/06/2023","78.3288","78.1868","78.9511","76.5709","","-0.57%"
"06/05/2023","78.7764","79.3114","80.6107","78.6563","","0.57%"
"06/02/2023","78.3288","76.6910","78.7873","76.6255","","2.34%"
"06/01/2023","76.5381","74.6165","77.5426","73.7321","","2.95%"
"05/31/2023","74.3435","75.7193","76.0796","73.2408","","-1.97%"
"05/30/2023","75.8394","79.9010","80.0102","75.3589","","-4.42%"
"05/26/2023","79.3442","78.1650","79.7482","78.0558","","1.17%"
"05/25/2023","78.4270","80.9274","81.1894","77.5208","","-3.38%"
"05/24/2023","81.1675","80.5780","81.5715","79.8464","","1.96%"
"05/23/2023","79.6062","79.0712","80.5015","78.3069","","1.19%"
"05/22/2023","78.6672","77.7501","79.1804","77.1823","","0.50%"
"05/19/2023","78.2742","78.4925","80.2395","77.7282","","-0.35%"
"05/18/2023","78.5471","79.3114","79.6608","78.1322","","-1.30%"
"05/17/2023","79.5844","77.0186","80.0102","76.4835","","2.89%"
"05/16/2023","77.3461","78.3178","78.3178","76.9749","","-0.35%"
"05/15/2023","77.6191","76.0905","78.2305","75.7629","","1.53%"
"05/12/2023","76.4508","77.3133","78.3069","76.3634","","-1.21%"
"05/11/2023","77.3898","79.4097","80.1958","77.1496","","-2.26%"
"05/10/2023","79.1804","79.9556","80.5561","78.4161","","-1.49%"
"05/09/2023","80.3814","79.2896","80.4251","77.8702","","0.75%"
"05/08/2023","79.7809","77.7610","80.3050","77.7610","","2.53%"
"05/05/2023","77.8156","75.1515","78.2633","74.9768","","4.03%"
"05/04/2023","74.8021","75.2934","76.1451","73.6775","","-0.06%"
"05/03/2023","74.8458","78.0340","78.2305","74.1579","","-4.19%"
"05/02/2023","78.1213","82.4013","82.9363","77.8811","","-5.24%"
"05/01/2023","82.4450","82.9254","83.0128","81.2440","","-1.44%"
"04/28/2023","83.6460","81.6370","83.7771","80.5780","","2.72%"
"04/27/2023","81.4296","81.2112","81.9864","80.6871","","0.53%"
"04/26/2023","81.0038","84.2356","84.8361","80.9601","","-3.49%"
"04/25/2023","83.9299","85.9607","85.9607","83.9299","","-2.20%"
"04/24/2023","85.8188","84.1483","86.2337","83.6024","","1.15%"
"04/21/2023","84.8471","83.9299","85.3165","83.5150","","0.78%"
"04/20/2023","84.1919","85.7205","85.7205","83.7880","","-2.34%"
"04/19/2023","86.2119","87.9806","88.0462","85.5131","","-2.05%"
"04/18/2023","88.0134","88.2099","88.6794","87.0307","","0.06%"
"04/17/2023","87.9588","89.5857","89.7713","87.5657","","-1.83%"
"04/14/2023","89.5966","89.6053","90.1899","88.8048","","0.46%"
"04/13/2023","89.1865","90.2083","90.4763","89.1495","","-1.23%"
"04/12/2023","90.2998","88.4920","90.5826","88.2636","","2.02%"
"04/11/2023","88.5137","86.8946","88.5702","86.2317","","2.22%"
"04/10/2023","86.5924","87.7327","88.0585","86.5382","","-1.19%"
